strategy,gross_annual_return,gross_volatility,gross_sharpe,gross_mdd,gross_var_95,net_annual_return,net_volatility,net_sharpe,net_mdd,net_var_95,avg_daily_turnover,annualized_turnover,total_transaction_cost,avg_daily_cost,return_drag,sharpe_drag
Time_series_momentum_1M,0.09241590462887639,0.14264995565952251,0.6478509173143736,-0.275670151147398,0.013367853856542582,0.08313239042509646,0.14278055654882882,0.5822388736569074,-0.28322686673621644,0.013367853856542582,0.022536256712216877,5.848158616820281,0.03508895170092168,3.380438506832532e-05,0.00928351420377993,0.0656120436574662
Time_series_momentum_1M_w_asset_stop,0.04964954682437939,0.13179776560167672,0.37671008000569434,-0.3087966685698056,0.012959342249045644,0.03962325799889044,0.13191890894194364,0.3003607164180557,-0.3175278817805752,0.013059304424047891,0.025353511795976377,6.57923631105587,0.03947541786633521,3.8030267693964557e-05,0.01002628882548895,0.07634936358763866
Time_series_momentum_2M,0.05952663938409297,0.14542735647804747,0.409322157988058,-0.28899747876058834,0.014714963710874492,0.053766260871731975,0.14548292908590085,0.3695709263592398,-0.2968237722003565,0.014714963710874492,0.014404126639414533,3.7378708629280712,0.022427225177568427,2.16061899591218e-05,0.005760378512360997,0.03975123162881816
Time_series_momentum_2M_w_asset_stop,0.016828347566841817,0.13006842030378243,0.12938073305986358,-0.31051157256421524,0.013034793573719308,0.010203049086931815,0.13010695642704734,0.07842047317933225,-0.32025906804367077,0.013059304424047891,0.017281219681981576,4.484476507474219,0.026906859044845317,2.5921829522972367e-05,0.006625298479910002,0.050960259880531336
Time_series_momentum_3M,0.06551598080685928,0.1466985459551959,0.44660279609634923,-0.3293958688887987,0.014298307893226555,0.06127378856752652,0.14677262980993447,0.4174742160501858,-0.3336333179922435,0.014298307893226555,0.010527652838601107,2.731925911616987,0.016391555469701922,1.579147925790166e-05,0.004242192239332754,0.02912858004616342
Time_series_momentum_3M_w_asset_stop,0.05892626323626815,0.11401171025455169,0.5168439549297581,-0.3047681209014119,0.01188754133247814,0.053915658193767424,0.1140775213953551,0.4726229807089998,-0.31162414190061594,0.01189776860520541,0.012530434091656828,3.251647646784947,0.019509885880709683,1.8795651137485244e-05,0.0050106050425007265,0.044220974220758325
Vol_adj_time_series_momentum_1M,0.06131107137634695,0.10076685232236347,0.608444840374755,-0.23178468152997422,0.010041687764778777,0.05301008222749326,0.10085739189111403,0.525594418351836,-0.23987395742554884,0.010047986010211474,0.02075339205697491,5.385505238784989,0.032313031432709936,3.113008808546237e-05,0.008300989148853688,0.08285042202291903
Vol_adj_time_series_momentum_1M_w_asset_stop,0.04893367994582132,0.09644937932145274,0.5073509056261729,-0.2262721432663145,0.009748228279779909,0.03966140085223868,0.09653598239983888,0.4108457786027035,-0.2368614021366543,0.009892717807346529,0.023471311867778667,6.090805429688564,0.03654483257813139,3.5206967801668004e-05,0.009272279093582636,0.09650512702346942
Vol_adj_time_series_momentum_2M,0.025298026828742826,0.10292889949224557,0.2457815730425518,-0.2914158468838809,0.010358003180073355,0.02001367834404788,0.10296319577170188,0.19437701203859084,-0.29951387743815927,0.010358003180073355,0.013662005287485356,3.54529037210245,0.0212717422326147,2.0493007931228037e-05,0.005284348484694945,0.05140456100396096
Vol_adj_time_series_momentum_2M_w_asset_stop,-0.0018300824552881512,0.09514368352378584,-0.0192349338128225,-0.3196693199694546,0.009883426366243672,-0.007257377006532839,0.09515816180859105,-0.07626646909311809,-0.32793544449268175,0.009964051397710191,0.014419524474086766,3.741866601025516,0.022451199606153098,2.162928671113015e-05,0.005427294551244688,0.05703153528029559
Vol_adj_time_series_momentum_3M,0.01733498718234583,0.10135704775317941,0.17102892760411975,-0.31849791073706935,0.010443889443606462,0.013108812561497318,0.10143640839087058,0.1292318287826635,-0.3238950426416576,0.010443889443606462,0.010992178015097602,2.852470194917828,0.017114821169506966,1.6488267022646404e-05,0.004226174620848511,0.04179709882145624
Vol_adj_time_series_momentum_3M_w_asset_stop,0.01750177554904675,0.07901375220999049,0.22150290372912865,-0.28793676912942534,0.007971925173167232,0.012962723596180892,0.07908671227240024,0.1639052025773062,-0.29584675434002816,0.008118569142932026,0.011813344942857323,3.0655630126714755,0.018393378076028852,1.7720017414285986e-05,0.004539051952865858,0.057597701151822445
