,train_start,train_end,test_start,test_end,train_mean_ic,train_ic_ir,train_pos_ic_ratio,test_annu_return,test_annu_vol,test_sharpe
0,2022-01-03,2023-06-30,2023-07-03,2023-12-29,0.1578133483370124,0.5981460316992135,0.68,0.1737014552242071,0.10458069262249237,1.6609323467690327
1,2022-07-01,2023-12-29,2024-01-02,2024-06-28,-0.2465882929469851,-0.9708788091772914,0.12,0.5431098062178028,0.1168896486632625,4.646346468046986
2,2023-01-03,2024-06-28,2024-07-01,2024-12-31,-0.17229941013734695,-1.1762308859382327,0.12,0.07760486471217609,0.1652922177715687,0.46950101921570697
3,2023-07-03,2024-12-31,2025-01-02,2025-06-30,-0.1637329757360359,-1.0177611629596937,0.12,-0.03820553663022719,0.19264060978772085,-0.19832545522113715
4,2024-01-02,2025-06-30,2025-07-01,2025-12-30,-0.07617293095696027,-0.3485025683871144,0.4,0.3396846240250777,0.09135997534531616,3.718090145505853
