strategy,base_regime,overlay_col,overlay_state,count,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor
Time_series_momentum_1M,Bear High Vol,high_corr,False,48,0.5714285714285714,0.007811401456321365,-0.04190024154153985,0.18642855432174896,0.24857140576233194
Time_series_momentum_1M,Bear High Vol,high_corr,True,114,0.18181818181818182,0.03269275278387296,-0.02875266390141869,1.1370338726165772,0.25267419391479495
Time_series_momentum_1M,Bear High Vol,strong_breadth,False,140,0.3,0.024836235372263687,-0.031456180215239916,0.7895502633288897,0.3383786842838099
Time_series_momentum_1M,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.04772626666262066,0.0,0.0
Time_series_momentum_1M,Bear Low Vol,high_corr,False,52,0.25,0.018974639562690077,-0.011514394319861473,1.647906006654665,0.5493020022182217
Time_series_momentum_1M,Bear Low Vol,high_corr,True,55,0.6,0.03167079764559596,-0.01693749756977747,1.86986285991314,2.80479428986971
Time_series_momentum_1M,Bear Low Vol,strong_breadth,False,52,0.3,0.014426324726206937,-0.014138384783269389,1.0203658301391176,0.43729964148819317
Time_series_momentum_1M,Bear Low Vol,strong_breadth,True,55,0.8,0.02206648101327008,-0.003275557582812838,6.736709844166685,26.94683937666674
Time_series_momentum_1M,Bull High Vol,high_corr,False,143,0.4166666666666667,0.05293811205445058,-0.01351149418547591,3.9180057607067655,2.7985755433619754
Time_series_momentum_1M,Bull High Vol,high_corr,True,71,0.875,0.02816381770359287,-0.01746025688699926,1.6130242461989994,11.291169723392997
Time_series_momentum_1M,Bull High Vol,strong_breadth,False,58,0.125,0.045518270175554765,-0.015101379169609805,3.0141796761951567,0.4305970965993081
Time_series_momentum_1M,Bull High Vol,strong_breadth,True,156,0.9166666666666666,0.03810544442992859,-0.008866483707167694,4.297695195573869,47.274647151312564
Time_series_momentum_1M,Bull Low Vol,high_corr,False,415,0.6,0.031384672827520665,-0.020067082732803887,1.5639878125491449,2.345981718823717
Time_series_momentum_1M,Bull Low Vol,high_corr,True,71,0.6666666666666666,0.010422824891939722,-0.013645794022728697,0.7638122687898751,1.5276245375797504
Time_series_momentum_1M,Bull Low Vol,strong_breadth,False,128,0.2857142857142857,0.012645516050417582,-0.024835965669649816,0.5091614402523806,0.20366457610095226
Time_series_momentum_1M,Bull Low Vol,strong_breadth,True,358,0.782608695652174,0.03209910572077958,-0.016817551732365654,1.9086669826621863,6.871201137583871
Time_series_momentum_1M_w_asset_stop,Bear High Vol,high_corr,False,48,0.5714285714285714,0.007811401456321365,-0.037229567615390056,0.2098171414994427,0.2797561886659236
Time_series_momentum_1M_w_asset_stop,Bear High Vol,high_corr,True,114,0.2,0.013884611467272526,-0.029114386598099295,0.4768986432356768,0.11922466080891922
Time_series_momentum_1M_w_asset_stop,Bear High Vol,strong_breadth,False,140,0.2857142857142857,0.01269425873771568,-0.031090500959836953,0.4083002314473563,0.1633200925789425
Time_series_momentum_1M_w_asset_stop,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.04296435397145126,0.0,0.0
Time_series_momentum_1M_w_asset_stop,Bear Low Vol,high_corr,False,52,0.2222222222222222,0.018956278990333697,-0.00988046457897743,1.918561504756243,0.5481604299303551
Time_series_momentum_1M_w_asset_stop,Bear Low Vol,high_corr,True,55,0.625,0.019265084492050555,-0.01911400180368794,1.0079042939262182,1.6798404898770303
Time_series_momentum_1M_w_asset_stop,Bear Low Vol,strong_breadth,False,52,0.3076923076923077,0.011376208657128184,-0.013612509987563089,0.8357171945160683,0.3714298642293637
Time_series_momentum_1M_w_asset_stop,Bear Low Vol,strong_breadth,True,55,0.8,0.02206648101327008,-0.003275557582812838,6.736709844166685,26.94683937666674
Time_series_momentum_1M_w_asset_stop,Bull High Vol,high_corr,False,143,0.35714285714285715,0.06010916954363101,-0.014822541564200153,4.055253903878973,2.2529188354883183
Time_series_momentum_1M_w_asset_stop,Bull High Vol,high_corr,True,71,0.7777777777777778,0.030062104003781016,-0.03344767406520849,0.8987801048638816,3.1457303670235857
Time_series_momentum_1M_w_asset_stop,Bull High Vol,strong_breadth,False,58,0.3,0.04277312517796209,-0.030991818924837107,1.3801424589404576,0.5914896252601961
Time_series_momentum_1M_w_asset_stop,Bull High Vol,strong_breadth,True,156,0.8461538461538461,0.03866923344715,-0.011558363533184346,3.3455630060544195,18.400596533299307
Time_series_momentum_1M_w_asset_stop,Bull Low Vol,high_corr,False,415,0.5925925925925926,0.029223702449890504,-0.0181970285301393,1.605960138024073,2.335942018944106
Time_series_momentum_1M_w_asset_stop,Bull Low Vol,high_corr,True,71,0.6,0.010422824891939722,-0.01018024999524375,1.0238279901583265,1.5357419852374898
Time_series_momentum_1M_w_asset_stop,Bull Low Vol,strong_breadth,False,128,0.25,0.012645516050417582,-0.020636281308964517,0.6127807554612226,0.2042602518204075
Time_series_momentum_1M_w_asset_stop,Bull Low Vol,strong_breadth,True,358,0.76,0.030661323115775706,-0.015130201213902924,2.0264980407267457,6.417243795634695
Time_series_momentum_2M,Bear High Vol,high_corr,False,48,0.6,0.010520760192855194,-0.04826062069009196,0.2179988579180279,0.32699828687704185
Time_series_momentum_2M,Bear High Vol,high_corr,True,114,0.0,0.0,-0.027670884763385434,0.0,0.0
Time_series_momentum_2M,Bear High Vol,strong_breadth,False,140,0.3333333333333333,0.015167320061880485,-0.03323004259513551,0.4564339638884725,0.22821698194423626
Time_series_momentum_2M,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.06313983973473947,0.0,0.0
Time_series_momentum_2M,Bear Low Vol,high_corr,False,52,0.14285714285714285,0.0391056113973447,-0.013876061017596327,2.8182069355096235,0.46970115591827066
Time_series_momentum_2M,Bear Low Vol,high_corr,True,55,0.6666666666666666,0.017964695199388148,-0.031512498908935926,0.5700815810038454,1.1401631620076909
Time_series_momentum_2M,Bear Low Vol,strong_breadth,False,52,0.3333333333333333,0.01378980322118073,-0.022925298092613206,0.6015103125583332,0.3007551562791666
Time_series_momentum_2M,Bear Low Vol,strong_breadth,True,55,0.75,0.009161882276688793,-0.0033261448686661144,2.754504881311134,8.263514643933402
Time_series_momentum_2M,Bull High Vol,high_corr,False,143,0.4,0.05432436160136833,-0.00788436538781854,6.890137497343828,4.593424998229218
Time_series_momentum_2M,Bull High Vol,high_corr,True,71,0.75,0.033433678190157114,-0.010549947708041518,3.1690847305975614,9.507254191792684
Time_series_momentum_2M,Bull High Vol,strong_breadth,False,58,0.14285714285714285,0.024551539234472175,-0.01565974111517382,1.567812587315538,0.261302097885923
Time_series_momentum_2M,Bull High Vol,strong_breadth,True,156,0.9090909090909091,0.04278681151153598,-0.0064334538385870665,6.65067514045192,66.5067514045192
Time_series_momentum_2M,Bull Low Vol,high_corr,False,415,0.6470588235294118,0.03237331822524026,-0.0324579461607753,0.9973926897556659,1.8285532645520544
Time_series_momentum_2M,Bull Low Vol,high_corr,True,71,0.36363636363636365,0.018371769067252464,-0.007918360160778229,2.3201481991502213,1.3257989709429834
Time_series_momentum_2M,Bull Low Vol,strong_breadth,False,128,0.18181818181818182,0.005685119080890755,-0.025428837997580594,0.2235697549935888,0.04968216777635307
Time_series_momentum_2M,Bull Low Vol,strong_breadth,True,358,0.875,0.03326842379324849,-0.03233641146565597,1.0288223796441482,7.201756657509037
Time_series_momentum_2M_w_asset_stop,Bear High Vol,high_corr,False,48,0.5,0.007405929759394803,-0.03007040457035201,0.24628633585783868,0.24628633585783868
Time_series_momentum_2M_w_asset_stop,Bear High Vol,high_corr,True,114,0.26666666666666666,0.01757452836289969,-0.028547751565691396,0.6156186529246914,0.22386132833625141
Time_series_momentum_2M_w_asset_stop,Bear High Vol,strong_breadth,False,140,0.375,0.01942219111183034,-0.032091723330319136,0.6052087297375187,0.3631252378425113
Time_series_momentum_2M_w_asset_stop,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.06313983973473947,0.0,0.0
Time_series_momentum_2M_w_asset_stop,Bear Low Vol,high_corr,False,52,0.1111111111111111,0.011922251218267954,-0.00835583525625365,1.4268174099465567,0.1783521762433196
Time_series_momentum_2M_w_asset_stop,Bear Low Vol,high_corr,True,55,0.4,0.011010595771975495,-0.014263670137168375,0.7719328662322332,0.5146219108214888
Time_series_momentum_2M_w_asset_stop,Bear Low Vol,strong_breadth,False,52,0.2,0.01294695856569461,-0.013758945442539736,0.9409848029243117,0.23524620073107794
Time_series_momentum_2M_w_asset_stop,Bear Low Vol,strong_breadth,True,55,0.5,0.0064854313897722005,-0.0020325811453479337,3.1907367657206303,3.1907367657206303
Time_series_momentum_2M_w_asset_stop,Bull High Vol,high_corr,False,143,0.4166666666666667,0.05282278879905995,-0.014255799492381553,3.7053543596266905,2.646681685447636
Time_series_momentum_2M_w_asset_stop,Bull High Vol,high_corr,True,71,0.7,0.030271910414371828,-0.023511662219833585,1.2875274462234976,3.004230707854828
Time_series_momentum_2M_w_asset_stop,Bull High Vol,strong_breadth,False,58,0.4,0.016069627450473856,-0.02802040983502152,0.5734972309501737,0.3823314873001158
Time_series_momentum_2M_w_asset_stop,Bull High Vol,strong_breadth,True,156,0.9166666666666666,0.038439309475797885,-0.010137153944754007,3.7919232247321535,41.71115547205369
Time_series_momentum_2M_w_asset_stop,Bull Low Vol,high_corr,False,415,0.631578947368421,0.029727829963192804,-0.025427687383277813,1.169112610010414,2.0041930457321384
Time_series_momentum_2M_w_asset_stop,Bull Low Vol,high_corr,True,71,0.3333333333333333,0.018524301503989038,-0.006985222304421904,2.6519272682649584,1.3259636341324792
Time_series_momentum_2M_w_asset_stop,Bull Low Vol,strong_breadth,False,128,0.23076923076923078,0.004322450146881929,-0.022824449446827,0.18937806832763826,0.056813420498291474
Time_series_momentum_2M_w_asset_stop,Bull Low Vol,strong_breadth,True,358,0.8235294117647058,0.03461040256107595,-0.022597971350719687,1.5315712204393823,7.1473323620504505
Time_series_momentum_3M,Bear High Vol,high_corr,False,48,0.5,0.012095614084027373,-0.0632199939587112,0.19132577095668477,0.19132577095668477
Time_series_momentum_3M,Bear High Vol,high_corr,True,114,0.16666666666666666,0.002542661499786547,-0.03223468150421185,0.07887968427590382,0.015775936855180764
Time_series_momentum_3M,Bear High Vol,strong_breadth,False,140,0.3333333333333333,0.001733812328429507,-0.043786572614326585,0.039596895233179746,0.019798447616589873
Time_series_momentum_3M,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.046495882302011404,0.0,0.0
Time_series_momentum_3M,Bear Low Vol,high_corr,False,52,0.16666666666666666,0.03688524626617484,-0.01404210395845067,2.626760660319493,0.5253521320638985
Time_series_momentum_3M,Bear Low Vol,high_corr,True,55,0.25,0.03397772057701909,-0.019191201150482413,1.7704843126072378,0.5901614375357459
Time_series_momentum_3M,Bear Low Vol,strong_breadth,False,52,0.2857142857142857,0.010770506653802081,-0.01801951154210173,0.5977135744571824,0.239085429782873
Time_series_momentum_3M,Bear Low Vol,strong_breadth,True,55,0.6666666666666666,0.014986863951484408,-0.01918434039589323,0.7812029833818331,1.5624059667636663
Time_series_momentum_3M,Bull High Vol,high_corr,False,143,0.625,0.04426448456752916,-0.0115554921225934,3.8306014229357532,6.384335704892922
Time_series_momentum_3M,Bull High Vol,high_corr,True,71,1.0,0.024995461675263262,0.0,,
Time_series_momentum_3M,Bull High Vol,strong_breadth,False,58,0.16666666666666666,0.024551539234472175,-0.018187763824181434,1.349893228865762,0.2699786457731524
Time_series_momentum_3M,Bull High Vol,strong_breadth,True,156,1.0,0.05450035856610358,0.0,,
Time_series_momentum_3M,Bull Low Vol,high_corr,False,415,0.6153846153846154,0.05871317315962338,-0.03977441278373128,1.4761543678562745,2.361846988570039
Time_series_momentum_3M,Bull Low Vol,high_corr,True,71,0.375,0.01635250881556612,-0.010625088280351557,1.5390468656910827,0.9234281194146496
Time_series_momentum_3M,Bull Low Vol,strong_breadth,False,128,0.4444444444444444,0.012651126740090002,-0.04576941725294366,0.27641004625804677,0.22112803700643746
Time_series_momentum_3M,Bull Low Vol,strong_breadth,True,358,0.8333333333333334,0.05568509497021068,-0.05161596568670235,1.0788347021967402,5.3941735109837
Time_series_momentum_3M_w_asset_stop,Bear High Vol,high_corr,False,48,0.375,0.012583933776527592,-0.027464860744290397,0.45818305411010085,0.27490983246606054
Time_series_momentum_3M_w_asset_stop,Bear High Vol,high_corr,True,114,0.3125,0.00464915679566893,-0.01992890315538942,0.23328713875613608,0.10603960852551639
Time_series_momentum_3M_w_asset_stop,Bear High Vol,strong_breadth,False,140,0.25,0.004162831987324478,-0.018039404485786847,0.23076327107163386,0.07692109035721129
Time_series_momentum_3M_w_asset_stop,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.04887685126233554,0.0,0.0
Time_series_momentum_3M_w_asset_stop,Bear Low Vol,high_corr,False,52,0.25,0.019184454340181234,-0.01191167798900028,1.610558508876493,0.5368528362921643
Time_series_momentum_3M_w_asset_stop,Bear Low Vol,high_corr,True,55,0.3333333333333333,0.01364379269745275,-0.013012233545827756,1.0485357989772246,0.5242678994886123
Time_series_momentum_3M_w_asset_stop,Bear Low Vol,strong_breadth,False,52,0.3333333333333333,0.010132083771720257,-0.016010122867820886,0.6328548416130501,0.31642742080652503
Time_series_momentum_3M_w_asset_stop,Bear Low Vol,strong_breadth,True,55,1.0,0.014986863951484408,0.0,,
Time_series_momentum_3M_w_asset_stop,Bull High Vol,high_corr,False,143,0.4444444444444444,0.06850181109243514,-0.018900006141236235,3.6244332716367302,2.899546617309384
Time_series_momentum_3M_w_asset_stop,Bull High Vol,high_corr,True,71,0.875,0.023300227985351585,-0.04955735933551075,0.47016685912591805,3.2911680138814265
Time_series_momentum_3M_w_asset_stop,Bull High Vol,strong_breadth,False,58,0.4444444444444444,0.016069627450473856,-0.03241503436889905,0.4957461179153347,0.39659689433226775
Time_series_momentum_3M_w_asset_stop,Bull High Vol,strong_breadth,True,156,0.8888888888888888,0.05175826106482273,-0.01528218452443486,3.386836546965249,27.09469237572199
Time_series_momentum_3M_w_asset_stop,Bull Low Vol,high_corr,False,415,0.625,0.0462513082208339,-0.021429068565626652,2.1583443106352935,3.5972405177254894
Time_series_momentum_3M_w_asset_stop,Bull Low Vol,high_corr,True,71,0.375,0.01635250881556612,-0.008755190318532202,1.8677502396438597,1.1206501437863159
Time_series_momentum_3M_w_asset_stop,Bull Low Vol,strong_breadth,False,128,0.3333333333333333,0.011900254097391316,-0.029733271314038703,0.40023359595055913,0.20011679797527956
Time_series_momentum_3M_w_asset_stop,Bull Low Vol,strong_breadth,True,358,0.7857142857142857,0.05058417082688666,-0.0062597606582229055,8.08084742991549,29.62977390969013
Vol_adj_time_series_momentum_1M,Bear High Vol,high_corr,False,48,0.42857142857142855,0.006340019713480786,-0.034090110252549266,0.1859782695483268,0.1394837021612451
Vol_adj_time_series_momentum_1M,Bear High Vol,high_corr,True,114,0.3333333333333333,0.019474379951328502,-0.022920711440356484,0.8496411641499039,0.42482058207495194
Vol_adj_time_series_momentum_1M,Bear High Vol,strong_breadth,False,140,0.45454545454545453,0.01536325454917331,-0.029218371488025436,0.5258080367507694,0.4381733639589745
Vol_adj_time_series_momentum_1M,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.04154653565709976,0.0,0.0
Vol_adj_time_series_momentum_1M,Bear Low Vol,high_corr,False,52,0.25,0.0097379757866779,-0.009669630081413416,1.0070680785809847,0.3356893595269949
Vol_adj_time_series_momentum_1M,Bear Low Vol,high_corr,True,55,0.7142857142857143,0.01991423216875674,-0.015939439153462687,1.2493684361805522,3.12342109045138
Vol_adj_time_series_momentum_1M,Bear Low Vol,strong_breadth,False,52,0.36363636363636365,0.013057056055427618,-0.011574710233915304,1.1280676398419773,0.6446100799097013
Vol_adj_time_series_momentum_1M,Bear Low Vol,strong_breadth,True,55,0.6,0.022975941788006587,-0.005338529796100999,4.30379573881691,6.455693608225364
Vol_adj_time_series_momentum_1M,Bull High Vol,high_corr,False,143,0.5333333333333333,0.022071066621541152,-0.007856286299933417,2.8093511080073807,3.210686980579864
Vol_adj_time_series_momentum_1M,Bull High Vol,high_corr,True,71,0.8888888888888888,0.018132897488867317,-0.007422537242690486,2.4429513650098698,19.543610920078958
Vol_adj_time_series_momentum_1M,Bull High Vol,strong_breadth,False,58,0.3333333333333333,0.014454152842846716,-0.006936936656364541,2.083650688893812,1.041825344446906
Vol_adj_time_series_momentum_1M,Bull High Vol,strong_breadth,True,156,0.9375,0.01750193902479758,-0.005269968013297377,3.3210712058661542,49.81606808799232
Vol_adj_time_series_momentum_1M,Bull Low Vol,high_corr,False,415,0.5714285714285714,0.019816497314097806,-0.013559232995059428,1.4614762738658105,1.9486350318210806
Vol_adj_time_series_momentum_1M,Bull Low Vol,high_corr,True,71,0.6363636363636364,0.007197401414799266,-0.00607396954544559,1.184958429730036,2.073677252027563
Vol_adj_time_series_momentum_1M,Bull Low Vol,strong_breadth,False,128,0.29411764705882354,0.007132071634228509,-0.013248575971650772,0.5383274134133115,0.2243030889222131
Vol_adj_time_series_momentum_1M,Bull Low Vol,strong_breadth,True,358,0.7037037037037037,0.019904268566943693,-0.009256224952853775,2.15036569101608,5.10711851616319
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear High Vol,high_corr,False,48,0.42857142857142855,0.006183556656401172,-0.030587104807936916,0.20216220839563173,0.15162165629672378
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear High Vol,high_corr,True,114,0.3333333333333333,0.018869072451956192,-0.02390386774962262,0.7893731947313876,0.3946865973656938
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear High Vol,strong_breadth,False,140,0.42857142857142855,0.015544019200055584,-0.02888588592322619,0.5381181398198748,0.4035886048649061
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear High Vol,strong_breadth,True,22,0.0,0.0,-0.03693827775458258,0.0,0.0
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear Low Vol,high_corr,False,52,0.3333333333333333,0.00666098344293653,-0.00970284554622658,0.6864979362190275,0.3432489681095138
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear Low Vol,high_corr,True,55,0.7777777777777778,0.01286675629888423,-0.016292985089968848,0.7897114143194021,2.7639899501179075
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear Low Vol,strong_breadth,False,52,0.5,0.00617590803222431,-0.011704193757042633,0.5276662502710321,0.5276662502710322
Vol_adj_time_series_momentum_1M_w_asset_stop,Bear Low Vol,strong_breadth,True,55,0.6,0.022975941788006587,-0.005338529796100999,4.30379573881691,6.455693608225364
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull High Vol,high_corr,False,143,0.47058823529411764,0.023729012281567985,-0.007658873740152,3.0982378201598415,2.7539891734754147
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull High Vol,high_corr,True,71,0.8,0.019793848348142323,-0.016776386589412218,1.179863628120877,4.719454512483508
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull High Vol,strong_breadth,False,58,0.2727272727272727,0.03047248476880826,-0.012675041396346023,2.404132958302835,0.9015498593635631
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull High Vol,strong_breadth,True,156,0.8823529411764706,0.0179282245026872,-0.0063002942657689465,2.845617005557291,21.34212754167968
Vol_adj_time_series_momentum_1M_w_asset_stop,Bull Low Vol,high_corr,False,415,0.5666666666666667,0.018791612935919955,-0.012744811650156857,1.4744519928380955,1.9281295290959712
