strategy,regime,count,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor
Time_series_momentum_1M,Bear High Vol,162,0.2727272727272727,0.024836235372263687,-0.04498514145200924,0.5520986390308302,0.2070369896365613
Time_series_momentum_1M,Bear Low Vol,107,0.4166666666666667,0.023609972527622914,-0.01272532960109507,1.8553525344908295,1.3252518103505924
Time_series_momentum_1M,Bull High Vol,214,0.7142857142857143,0.03771565265035144,-0.007490242435945288,5.035304661082259,12.588261652705647
Time_series_momentum_1M,Bull Low Vol,486,0.6538461538461539,0.02875459643009326,-0.021956777568739667,1.3096000239594263,2.4736889341455828
Time_series_momentum_1M_w_asset_stop,Bear High Vol,162,0.26666666666666666,0.01269425873771568,-0.03971538027287143,0.3196307992142482,0.11622938153245388
Time_series_momentum_1M_w_asset_stop,Bear Low Vol,107,0.4,0.02004595384800108,-0.012513467068094173,1.6019504218069693,1.067966947871313
Time_series_momentum_1M_w_asset_stop,Bull High Vol,214,0.5882352941176471,0.04715541198404829,-0.022932132330174184,2.0563029771985497,2.937575681712214
Time_series_momentum_1M_w_asset_stop,Bull Low Vol,486,0.6206896551724138,0.02832128146151837,-0.02003496608497343,1.4135926829823695,2.313151663062059
Time_series_momentum_2M,Bear High Vol,162,0.16666666666666666,0.004448610702290967,-0.047164416043832966,0.09432133535071405,0.01886426707014281
Time_series_momentum_2M,Bear Low Vol,107,0.42857142857142855,0.017581392772474242,-0.023089546015328616,0.7614438482593968,0.5710828861945476
Time_series_momentum_2M,Bull High Vol,214,0.75,0.040182502421492496,-0.004747885801146008,8.463241136042814,25.389723408128447
Time_series_momentum_2M,Bull Low Vol,486,0.6470588235294118,0.03195357823506631,-0.028920095822044096,1.1048918520771278,2.025635062141401
Time_series_momentum_2M_w_asset_stop,Bear High Vol,162,0.3125,0.018129423449902406,-0.03856177793595841,0.47013971918024366,0.2136998723546562
Time_series_momentum_2M_w_asset_stop,Bear Low Vol,107,0.2727272727272727,0.010179663852046975,-0.013251839934696849,0.7681698467692702,0.28806369253847636
Time_series_momentum_2M_w_asset_stop,Bull High Vol,214,0.7333333333333333,0.03637246682161777,-0.023969466332700834,1.5174500056347058,4.172987515495442
Time_series_momentum_2M_w_asset_stop,Bull Low Vol,486,0.6,0.03099205603003724,-0.022002102233519172,1.408595219725063,2.1128928295875946
Time_series_momentum_3M,Bear High Vol,162,0.16666666666666666,0.003241628103433758,-0.05301908053285738,0.06114078310778762,0.012228156621557525
Time_series_momentum_3M,Bear Low Vol,107,0.2857142857142857,0.02592850384597245,-0.021807316542556788,1.1889818628244884,0.4755927451297954
Time_series_momentum_3M,Bull High Vol,214,0.8888888888888888,0.04580289489404005,-0.004170565035767182,10.98241952858422,87.85935622867376
Time_series_momentum_3M,Bull Low Vol,486,0.6153846153846154,0.05947074121663656,-0.04150520052886055,1.4328503526993854,2.292560564319017
Time_series_momentum_3M_w_asset_stop,Bear High Vol,162,0.25,0.004162831987324478,-0.02593669132473948,0.1604997312573095,0.05349991041910318
