Date,0050.TW,006208.TW,006203.TW,006204.TW,00850.TW,0053.TW,00881.TW,0056.TW,00701.TW,00713.TW,00646.TW,00662.TW,00757.TW,00636.TW,006207.TW,00635U.TW,00642U.TW,00631L.TW,00632R.TW,00663L.TW,TLT,IEF,SHY,LQD,HYG
2022-01-03,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-04,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-05,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-07,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-10,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-11,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-12,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-13,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
2022-01-14,0.0,0.0,0.11991189589329633,0.08639020442400581,0.07966558953534358,0.08266266436867427,0.07445603509759503,0.0,0.13677885834683795,0.12800643243498744,0.07790072811943621,0.05550192715120229,0.04562575535162762,0.0,0.0,0.0,0.024512310911252798,0.045260360563580244,0.0,0.0433272378021605,0.0,0.0,0.0,0.0,0.0
