Date,rolling_rolling_fold_1_Cross_sectional_momentum_1M,rolling_rolling_fold_1_Cross_sectional_momentum_1M_w_asset_stop,rolling_rolling_fold_2_Cross_sectional_momentum_1M,rolling_rolling_fold_2_Cross_sectional_momentum_1M_w_asset_stop,rolling_rolling_fold_3_Cross_sectional_momentum_1M,rolling_rolling_fold_3_Cross_sectional_momentum_1M_w_asset_stop,rolling_rolling_fold_4_Cross_sectional_momentum_1M,rolling_rolling_fold_4_Cross_sectional_momentum_1M_w_asset_stop,rolling_rolling_fold_5_Cross_sectional_momentum_1M,rolling_rolling_fold_5_Cross_sectional_momentum_1M_w_asset_stop
2023-07-03,0.014952492483903273,0.014952492483903273,,,,,,,,
2023-07-04,0.00752108135541192,0.00752108135541192,,,,,,,,
2023-07-05,-0.00586411670325844,-0.00586411670325844,,,,,,,,
2023-07-06,-0.014963838541721394,-0.014963838541721394,,,,,,,,
2023-07-07,-0.005232040925862679,-0.005232040925862679,,,,,,,,
2023-07-10,-0.0015102195788302493,-0.0015102195788302493,,,,,,,,
2023-07-11,0.01443117898652271,0.01443117898652271,,,,,,,,
2023-07-12,0.0063676809947808355,0.0063676809947808355,,,,,,,,
2023-07-13,0.013525310012126491,0.013525310012126491,,,,,,,,
2023-07-14,0.013560825453111248,0.013560825453111248,,,,,,,,
2023-07-17,0.0035183319635822426,0.0035183319635822426,,,,,,,,
2023-07-18,0.0003840177107959495,0.0003840177107959495,,,,,,,,
2023-07-19,-0.007460493400313902,-0.007460493400313902,,,,,,,,
2023-07-20,0.001756128125605319,0.001756128125605319,,,,,,,,
2023-07-21,-0.009011378332661012,-0.009011378332661012,,,,,,,,
2023-07-24,0.005663533432177361,0.005663533432177361,,,,,,,,
2023-07-25,0.009585055011812633,0.009585055011812633,,,,,,,,
2023-07-26,-0.0009625255345298608,-0.0009625255345298608,,,,,,,,
2023-07-27,0.005401826363157405,0.005401826363157405,,,,,,,,
2023-07-28,0.002310770742874284,0.002310770742874284,,,,,,,,
2023-07-31,-0.006498884771322623,-0.006498884771322623,,,,,,,,
2023-08-01,0.0044159519223745235,0.0044159519223745235,,,,,,,,
2023-08-02,-0.022540288597706244,-0.022540288597706244,,,,,,,,
2023-08-03,0.0,0.0,,,,,,,,
2023-08-04,-0.001011914743215082,-0.001011914743215082,,,,,,,,
2023-08-07,0.012493281868807136,0.012493281868807136,,,,,,,,
2023-08-08,-0.005661233905198152,-0.005661233905198152,,,,,,,,
2023-08-09,-0.0027571153136207133,-0.0027571153136207133,,,,,,,,
2023-08-10,-0.01676019688922007,-0.01676019688922007,,,,,,,,
2023-08-11,0.0007930170072398739,0.0007930170072398739,,,,,,,,
2023-08-14,-0.011618828856569783,-0.011618828856569783,,,,,,,,
2023-08-15,0.010584707075986492,0.010584707075986492,,,,,,,,
2023-08-16,-0.0034800165265817832,-0.0034800165265817832,,,,,,,,
2023-08-17,0.0028159143524140685,0.0028159143524140685,,,,,,,,
2023-08-18,-0.011351990377878374,-0.011351990377878374,,,,,,,,
2023-08-21,-0.0006372864217799418,-0.0006372864217799418,,,,,,,,
2023-08-22,0.00825910117864729,0.00825910117864729,,,,,,,,
2023-08-23,0.00795737986749412,0.00795737986749412,,,,,,,,
2023-08-24,0.016242245984429225,0.016242245984429225,,,,,,,,
2023-08-25,-0.0251107980044981,-0.0251107980044981,,,,,,,,
2023-08-28,0.003758947967692332,0.003758947967692332,,,,,,,,
2023-08-29,0.00693873691651563,0.00693873691651563,,,,,,,,
2023-08-30,0.010424263131616809,0.010424263131616809,,,,,,,,
2023-08-31,-0.003541236415639201,-0.003541236415639201,,,,,,,,
2023-09-01,0.0011727294612346837,0.0011727294612346837,,,,,,,,
2023-09-04,0.006059669725152416,0.006059669725152416,,,,,,,,
2023-09-05,0.0012632912143113548,0.0012632912143113548,,,,,,,,
2023-09-06,0.001824369992672215,0.001824369992672215,,,,,,,,
2023-09-07,-0.008450087718882525,-0.008450087718882525,,,,,,,,
2023-09-08,-0.0024880493552903965,-0.0024880493552903965,,,,,,,,
2023-09-11,-0.006738287661284524,-0.006738287661284524,,,,,,,,
2023-09-12,0.008110835598194921,0.008110835598194921,,,,,,,,
2023-09-13,0.00015476422007049552,0.00015476422007049552,,,,,,,,
2023-09-14,0.012497557674471516,0.012497557674471516,,,,,,,,
2023-09-15,0.007394914037300765,0.007394914037300765,,,,,,,,
2023-09-18,-0.011351913662019694,-0.011351913662019694,,,,,,,,
2023-09-19,-0.0026745240651676093,-0.0026745240651676093,,,,,,,,
2023-09-20,-0.006477559026786423,-0.006477559026786423,,,,,,,,
2023-09-21,-0.015662225463306655,-0.015662225463306655,,,,,,,,
2023-09-22,-0.0007821936764372135,-0.0007821936764372135,,,,,,,,
2023-09-25,0.0074220010831335115,0.0074220010831335115,,,,,,,,
2023-09-26,-0.009478934112285585,-0.009478934112285585,,,,,,,,
2023-09-27,-0.0009632161329451183,-0.0009632161329451183,,,,,,,,
2023-09-28,0.007346483990994604,0.007346483990994604,,,,,,,,
2023-09-29,0.0,0.0,,,,,,,,
2023-10-02,0.011760803797883409,0.011760803797883409,,,,,,,,
2023-10-03,-0.007348183436859245,-0.007348183436859245,,,,,,,,
2023-10-04,-0.011060060770807276,-0.011060060770807276,,,,,,,,
2023-10-05,0.008262148918084165,0.008262148918084165,,,,,,,,
2023-10-06,0.00036097558575775326,0.00036097558575775326,,,,,,,,
2023-10-09,0.0,0.0,,,,,,,,
2023-10-10,0.0,0.0,,,,,,,,
2023-10-11,0.016215214861387443,0.016215214861387443,,,,,,,,
2023-10-12,0.00501953791143504,0.00501953791143504,,,,,,,,
2023-10-13,-0.0032241127537995925,-0.0032241127537995925,,,,,,,,
2023-10-16,-0.003905658136016792,-0.003905658136016792,,,,,,,,
2023-10-17,-0.00018843460196796069,-0.00018843460196796069,,,,,,,,
2023-10-18,-0.008994884714852667,-0.008994884714852667,,,,,,,,
2023-10-19,-0.003117232095306672,-0.003117232095306672,,,,,,,,
2023-10-20,-0.0031153426144462284,-0.0031153426144462284,,,,,,,,
2023-10-23,-0.012268963391959839,-0.012268963391959839,,,,,,,,
2023-10-24,0.003027242240190806,0.003027242240190806,,,,,,,,
2023-10-25,0.0019435302128265612,0.0019435302128265612,,,,,,,,
2023-10-26,-0.020419367327171967,-0.020419367327171967,,,,,,,,
2023-10-27,0.003238718467003461,0.003238718467003461,,,,,,,,
2023-10-30,-8.397697095327775e-05,-8.397697095327775e-05,,,,,,,,
2023-10-31,-0.008255704036554914,-0.008255704036554914,,,,,,,,
2023-11-01,0.004302549907736939,0.004302549907736939,,,,,,,,
2023-11-02,0.02063032783024701,0.02063032783024701,,,,,,,,
2023-11-03,0.00906230879752477,0.00906230879752477,,,,,,,,
2023-11-06,0.00948133280366453,0.00948133280366453,,,,,,,,
2023-11-07,-0.00022540946117157238,-0.00022540946117157238,,,,,,,,
2023-11-08,0.00428411616374621,0.00428411616374621,,,,,,,,
2023-11-09,-0.000541094262439321,-0.000541094262439321,,,,,,,,
2023-11-10,-0.00338182259155718,-0.00338182259155718,,,,,,,,
2023-11-13,0.012209670009932476,0.012209670009932476,,,,,,,,
2023-11-14,0.005787133551825158,0.005787133551825158,,,,,,,,
2023-11-15,0.011311661215436884,0.011311661215436884,,,,,,,,
2023-11-16,-0.0031588415695961015,-0.0031588415695961015,,,,,,,,
2023-11-17,-0.0002916824783303603,-0.0002916824783303603,,,,,,,,
2023-11-20,0.0012520917855057823,0.0012520917855057823,,,,,,,,
2023-11-21,0.012599208825424894,0.012599208825424894,,,,,,,,
2023-11-22,-0.006242739451196322,-0.006242739451196322,,,,,,,,
2023-11-23,0.0003513518885332168,0.0003513518885332168,,,,,,,,
2023-11-24,0.0005174052233570472,0.0005174052233570472,,,,,,,,
2023-11-27,-0.008210860603351394,-0.008210860603351394,,,,,,,,
2023-11-28,0.007399978574928903,0.007399978574928903,,,,,,,,
2023-11-29,0.0016803695309953997,0.0016803695309953997,,,,,,,,
2023-11-30,0.002198315668206343,0.002198315668206343,,,,,,,,
2023-12-01,0.0008567188316154048,0.0008567188316154048,,,,,,,,
2023-12-04,-0.0003340769258988527,-0.0003340769258988527,,,,,,,,
2023-12-05,-0.006696460310254897,-0.006696460310254897,,,,,,,,
2023-12-06,0.0074957406839856605,0.0074957406839856605,,,,,,,,
2023-12-07,-0.005649280496654269,-0.005649280496654269,,,,,,,,
2023-12-08,0.005436005194108438,0.005436005194108438,,,,,,,,
2023-12-11,0.002701407203053768,0.002701407203053768,,,,,,,,
2023-12-12,0.004093158993447284,0.004093158993447284,,,,,,,,
2023-12-13,0.005106856166178932,0.005106856166178932,,,,,,,,
2023-12-14,0.012930648968089495,0.012930648968089495,,,,,,,,
