Date,Cross_sectional_momentum_1M,Cross_sectional_momentum_1M_w_asset_stop,Cross_sectional_momentum_2M,Cross_sectional_momentum_2M_w_asset_stop,Cross_sectional_momentum_3M,Cross_sectional_momentum_3M_w_asset_stop,Vol_adj_cross_sectional_momentum_1M,Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Vol_adj_cross_sectional_momentum_2M,Vol_adj_cross_sectional_momentum_2M_w_asset_stop,Vol_adj_cross_sectional_momentum_3M,Vol_adj_cross_sectional_momentum_3M_w_asset_stop,Wei_adj_cross_sectional_momentum_1M,Wei_adj_cross_sectional_momentum_1M_w_asset_stop,Wei_adj_cross_sectional_momentum_2M,Wei_adj_cross_sectional_momentum_2M_w_asset_stop,Wei_adj_cross_sectional_momentum_3M,Wei_adj_cross_sectional_momentum_3M_w_asset_stop,Benchmark(0050.TW),Benchmark(SPY)
2022-01-03,-0.0015559064505504504,-0.0015559064505504504,-0.004262450411458634,-0.004262450411458634,-0.0036883508570478016,-0.0036883508570478016,-0.0016558581665178864,-0.0016558581665178864,-0.005767836887375009,-0.005767836887375009,-0.005060845267759166,-0.005060845267759166,-0.0016558581665178864,-0.0016558581665178864,-0.005767836887375009,-0.005767836887375009,-0.005060845267759166,-0.005060845267759166,0.006185525061748187,0.005789961364061735
2022-01-04,0.014250159076099602,0.014250159076099602,0.011332847045214959,0.011332847045214959,0.008697607911117912,0.008697607911117912,0.012577991035557588,0.012577991035557588,0.007911997507509311,0.007911997507509311,0.004995636889054939,0.004995636889054939,0.012577991035557588,0.012577991035557588,0.007911997507509311,0.007911997507509311,0.004995636889054939,0.004995636889054939,0.021858007789903988,-0.00033493890638969237
2022-01-05,-0.0030850319549253773,-0.0030850319549253773,-0.0040055720661603,-0.0040055720661603,-0.0037102859180637294,-0.0037102859180637294,-0.0024291578782804934,-0.0024291578782804934,-0.00448687153164361,-0.00448687153164361,-0.0038926013758517745,-0.0038926013758517745,-0.0024291578782804934,-0.0024291578782804934,-0.00448687153164361,-0.00448687153164361,-0.0038926013758517745,-0.0038926013758517745,-0.002005367911216749,-0.019202142486770768
2022-01-06,-0.0132446840792136,-0.0132446840792136,-0.01192692825029996,-0.01192692825029996,-0.010035841834760533,-0.010035841834760533,-0.011825816082258378,-0.011825816082258378,-0.010203994145746612,-0.010203994145746612,-0.00827755577673047,-0.00827755577673047,-0.011825816082258378,-0.011825816082258378,-0.010203994145746612,-0.010203994145746612,-0.00827755577673047,-0.00827755577673047,-0.009377154230787887,-0.0009394133755055156
2022-01-07,-0.0010975931071065112,-0.0010975931071065112,-0.0006277622276334395,-0.0006277622276334395,-0.00022092845539238695,-0.00022092845539238695,-0.0017841129127830033,-0.0017841129127830033,-0.0009209776169321036,-0.0009209776169321036,-0.0008389596497197832,-0.0008389596497197832,-0.0017841129127830033,-0.0017841129127830033,-0.0009209776169321036,-0.0009209776169321036,-0.0008389596497197832,-0.0008389596497197832,-0.008789640612687388,-0.003953511334494841
2022-01-10,0.00035417661122523394,0.00035417661122523394,-0.00015986135028613389,-0.00015986135028613389,-4.1653024852219216e-05,-4.1653024852219216e-05,0.0006507625275724503,0.0006507625275724503,-0.0004888912847418119,-0.0004888912847418119,-0.0004871017033374793,-0.0004871017033374793,0.0006507625275724503,0.0006507625275724503,-0.0004888912847418119,-0.0004888912847418119,-0.0004871017033374793,-0.0004871017033374793,0.006480197194339787,-0.001244366059822366
2022-01-11,0.001742434304915036,0.001742434304915036,0.001992885506912747,0.001992885506912747,0.002879024585115507,0.002879024585115507,0.0025887550880414945,0.0025887550880414945,0.0023413665807790786,0.0023413665807790786,0.003227751432365783,0.003227751432365783,0.0025887550880414945,0.0025887550880414945,0.0023413665807790786,0.0023413665807790786,0.003227751432365783,0.003227751432365783,0.005083022599036591,0.009108268663244656
2022-01-12,0.009747639609110582,0.009747639609110582,0.00827778120171533,0.00827778120171533,0.008680494603059873,0.008680494603059873,0.008225670516125926,0.008225670516125926,0.006243573912104345,0.006243573912104345,0.006480871190050091,0.006480871190050091,0.008225670516125926,0.008225670516125926,0.006243573912104345,0.006243573912104345,0.006480871190050091,0.006480871190050091,0.008428860244620084,0.002703542338843734
2022-01-13,0.006574840437079352,0.006574840437079352,0.00654025096335256,0.00654025096335256,0.006678627428836599,0.006678627428836599,0.0060515739681149695,0.0060515739681149695,0.005331819707575988,0.005331819707575988,0.005379255028143275,0.005379255028143275,0.0060515739681149695,0.0060515739681149695,0.005331819707575988,0.005331819707575988,0.005379255028143275,0.005379255028143275,0.005015045033067933,-0.013778587715492119
2022-01-14,-0.008393495666180776,-0.008393495666180776,-0.009947445004491526,-0.009947445004491526,-0.009264205446538063,-0.009264205446538063,-0.007392722499023244,-0.007392722499023244,-0.009936035615592665,-0.009936035615592665,-0.009075748608822255,-0.009075748608822255,-0.007392722499023244,-0.007392722499023244,-0.009936035615592665,-0.009936035615592665,-0.009075748608822255,-0.009075748608822255,0.0,0.0004090208208415991
