strategy,regime,count,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor
Cross_sectional_momentum_1M,Bear High Vol,162,0.2727272727272727,0.016505277039814043,-0.025337558750599093,0.6514154422798836,0.24428079085495638
Cross_sectional_momentum_1M,Bear Low Vol,107,0.25,0.013313686812867376,-0.01623981011269293,0.8198178870614677,0.27327262902048927
Cross_sectional_momentum_1M,Bull High Vol,214,0.75,0.03714918911733175,-0.011996988160458188,3.0965429506527866,9.28962885195836
Cross_sectional_momentum_1M,Bull Low Vol,486,0.72,0.03569364266506357,-0.023811747039381968,1.4989930224787906,3.854553486374033
Cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,162,0.35294117647058826,0.011053504052384922,-0.024761058173409397,0.4464067720762898,0.24349460295070355
Cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,107,0.3125,0.009657285827616801,-0.013540376660852293,0.7132213578325175,0.32419152628750797
Cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,214,0.6666666666666666,0.040420876922485104,-0.021776842520926026,1.8561403878291107,3.7122807756582215
Cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,486,0.7307692307692307,0.03391679087168253,-0.023967705092775776,1.4151038132518392,3.840996064540706
Cross_sectional_momentum_2M,Bear High Vol,162,0.42857142857142855,0.0071560732274770595,-0.040149997147307714,0.178233467893457,0.13367510092009274
Cross_sectional_momentum_2M,Bear Low Vol,107,0.25,0.018194288781504975,-0.01580660041791937,1.1510564131727383,0.3836854710575794
Cross_sectional_momentum_2M,Bull High Vol,214,0.7272727272727273,0.053335306389515336,-0.00899885417988222,5.926899727828838,15.8050659408769
Cross_sectional_momentum_2M,Bull Low Vol,486,0.7058823529411765,0.04814556233459588,-0.028947607332745085,1.6631966083129215,3.9916718599510115
Cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,162,0.2222222222222222,0.014867746220540767,-0.02225667343463278,0.6680129563929182,0.1908608446836909
Cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,107,0.3076923076923077,0.00454290833437454,-0.010289673583413027,0.4415016956123581,0.19622297582771472
Cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,214,0.6666666666666666,0.05593497999373315,-0.02138553182006217,2.6155524428557575,5.231104885711515
Cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,486,0.7368421052631579,0.04136333652690335,-0.028835830038790578,1.4344423750334392,4.01643865009363
Cross_sectional_momentum_3M,Bear High Vol,162,0.0,0.0,-0.029808608153239914,0.0,0.0
Cross_sectional_momentum_3M,Bear Low Vol,107,0.16666666666666666,0.014754289151613253,-0.01453968440182285,1.0147599317742755,0.20295198635485512
Cross_sectional_momentum_3M,Bull High Vol,214,0.8,0.049235223084072605,-0.009763337637864022,5.04286801402108,20.17147205608432
Cross_sectional_momentum_3M,Bull Low Vol,486,0.6428571428571429,0.06534027282545433,-0.029273879526901102,2.2320332624656114,4.0176598724381
Cross_sectional_momentum_3M_w_asset_stop,Bear High Vol,162,0.13333333333333333,0.008133717164454879,-0.01781203902126567,0.45664155320702415,0.07025254664723449
Cross_sectional_momentum_3M_w_asset_stop,Bear Low Vol,107,0.25,0.01100235200233568,-0.01181571413849246,0.9311626765320039,0.3103875588440013
Cross_sectional_momentum_3M_w_asset_stop,Bull High Vol,214,0.6666666666666666,0.06012882717045298,-0.04019328844611833,1.4959917313324465,2.991983462664893
Cross_sectional_momentum_3M_w_asset_stop,Bull Low Vol,486,0.7368421052631579,0.04225751016871287,-0.03679792609740935,1.1483666241638515,3.2154265476587844
Vol_adj_cross_sectional_momentum_1M,Bear High Vol,162,0.3333333333333333,0.012334917545318735,-0.0172150350086578,0.7165200383917458,0.3582600191958729
Vol_adj_cross_sectional_momentum_1M,Bear Low Vol,107,0.3076923076923077,0.006087447822729464,-0.0145098930478076,0.4195377459139341,0.18646122040619295
Vol_adj_cross_sectional_momentum_1M,Bull High Vol,214,0.7222222222222222,0.03425951143715231,-0.013507910409062518,2.536255453261479,6.594264178479846
Vol_adj_cross_sectional_momentum_1M,Bull Low Vol,486,0.6,0.035611749746779026,-0.02072632897627194,1.7181889657135287,2.5772834485702933
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,162,0.4117647058823529,0.009929547609963832,-0.018387605828674092,0.5400130774219364,0.3780091541953555
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,107,0.35294117647058826,0.004753987953014331,-0.011602291619875159,0.4097456010216613,0.22349760055726978
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,214,0.65,0.041445070126536976,-0.027731562447953956,1.4945090167321173,2.7755167453596465
