,train_start,train_end,test_start,test_end,train_mean_ic,train_ic_ir,train_pos_ic_ratio,test_annu_return,test_annu_vol,test_sharpe
0,2022-01-03,2023-06-30,2023-07-03,2023-12-29,0.05926025194317877,0.13761979891448178,0.5804878048780487,0.21424280686175967,0.12908214615449218,1.6597400434088136
1,2022-07-01,2023-12-29,2024-01-02,2024-06-28,0.17786802569411267,0.4855768456804267,0.6280193236714976,0.8252027855127264,0.1664495471402323,4.957675161576139
2,2023-01-03,2024-06-28,2024-07-01,2024-12-31,0.24143661216831946,0.5577108208232547,0.6634146341463415,0.039184220038059436,0.25774683832522266,0.1520259968761174
3,2023-07-03,2024-12-31,2025-01-02,2025-06-30,0.13515406162464988,0.21526384014627345,0.5735294117647058,-0.12446426834419155,0.1668361254092543,-0.7460270851943892
4,2024-01-02,2025-06-30,2025-07-01,2025-12-30,0.08014399393709737,0.16564103334408223,0.6059113300492611,0.5728935842364875,0.13522499342293162,4.236595393609651
