strategy,gross_annual_return,gross_volatility,gross_sharpe,gross_mdd,gross_var_95,net_annual_return,net_volatility,net_sharpe,net_mdd,net_var_95,avg_daily_turnover,annualized_turnover,total_transaction_cost,avg_daily_cost,return_drag,sharpe_drag
Cross_sectional_momentum_1M,0.15502165573710824,0.16090015438338487,0.9634649284905618,-0.20745434086543157,0.015277621413466766,0.14875312810576347,0.16096585167667507,0.9241284816394302,-0.20767734283739392,0.015277621413466766,0.014376760041499924,3.622943530457981,0.022384615384615385,2.156514006224989e-05,0.006268527631344778,0.03933644685113158
Cross_sectional_momentum_1M_w_asset_stop,0.06538255166217466,0.09987528943947159,0.654641924234914,-0.19503503022510071,0.0099571722269505,0.061179986579612766,0.09991132037828535,0.6123428891538258,-0.19911411753945973,0.010001654113761124,0.010449088483770566,2.6331702979101825,0.016269230769230772,1.567363272565585e-05,0.004202565082561893,0.04229903508108812
Cross_sectional_momentum_2M,0.15939204473104973,0.16112537256767612,0.9892423656870158,-0.20745434086543169,0.01532808696145663,0.1545960827089634,0.16113651977627583,0.9594105850343966,-0.20745434086543169,0.01532808696145663,0.010967837557432934,2.7638950644730995,0.01707692307692308,1.6451756336149403e-05,0.00479596202208632,0.029831780652619266
Cross_sectional_momentum_2M_w_asset_stop,-0.0005622933025577481,0.06011827699073811,-0.009353117399628331,-0.19422853154666808,0.005278406752843232,-0.0029391912790188712,0.0601180736624478,-0.04889031035029338,-0.19775764315050381,0.005279941036010136,0.006299095894471617,1.5873721654068473,0.009807692307692307,9.448643841707425e-06,0.002376897976461123,0.039537192950665045
Cross_sectional_momentum_3M,0.14668348766101702,0.15840721038011724,0.9259899679379006,-0.21204522157924133,0.015175631821277555,0.1428960734999174,0.15843720411729753,0.9019098405329445,-0.2133176519850325,0.015175631821277555,0.008744627241737067,2.203646064917741,0.013615384615384616,1.3116940862605603e-05,0.0037874141610996226,0.02408012740495602
Cross_sectional_momentum_3M_w_asset_stop,-0.04092120480726458,0.05686493032064961,-0.7196211193176242,-0.20979807400070305,0.004557672087271997,-0.04237056087842672,0.05685459581460724,-0.7452442545997444,-0.21307323620971852,0.0045749797795796845,0.004001778568252556,1.0084481991996441,0.006230769230769232,6.002667852378836e-06,0.0014493560711621445,0.025623135282120235
Vol_adj_cross_sectional_momentum_1M,0.14673967096893903,0.1307431599746938,1.1223506529698493,-0.17058854013378144,0.012443598534094689,0.13418415702285946,0.13092407524428917,1.024900552266551,-0.17819449729022885,0.012443598534094689,0.029077046383215937,7.327415688570416,0.04527296121866721,4.36155695748239e-05,0.012555513946079566,0.09745010070329818
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,0.07379332756362622,0.08812202169586063,0.83739939397115,-0.16651527245123554,0.008374854795747613,0.0647256840296282,0.08819379238199311,0.7339029457910408,-0.17387988581877922,0.008374854795747613,0.02242382553180519,5.650804034014908,0.03491389635302068,3.3635738297707786e-05,0.009067643533998027,0.10349644818010928
Vol_adj_cross_sectional_momentum_2M,0.14850044156480546,0.12990420266169586,1.1431534817356064,-0.18357397095009587,0.01127819318717086,0.14073583625744623,0.12989776847170068,1.0834353654667033,-0.18896808817940391,0.01127819318717086,0.01795801001705003,4.525418524296608,0.0279606215965469,2.693701502557505e-05,0.007764605307359229,0.05971811626890311
Vol_adj_cross_sectional_momentum_2M_w_asset_stop,0.0018769537298888306,0.05230142596153846,0.03588723816572629,-0.1846443872383271,0.005160177498729634,-0.0026832986906759615,0.05235035500364259,-0.051256551946768175,-0.18984268832543238,0.005160177498729634,0.012062251212922242,3.039687305656405,0.01878092513851993,1.8093376819383362e-05,0.004560252420564792,0.08714379011249446
Vol_adj_cross_sectional_momentum_3M,0.13588233720574272,0.1274552401657893,1.0661180899976475,-0.1890986600768032,0.012038459402527688,0.13011075602347244,0.12750362336720653,1.0204475181756791,-0.19120353038016824,0.012038459402527688,0.013466966205587622,3.3936754838080807,0.02096806638209993,2.0200449308381434e-05,0.00577158118227028,0.04567057182196832
Vol_adj_cross_sectional_momentum_3M_w_asset_stop,-0.03525828079593607,0.04822730288909689,-0.7310854782199975,-0.19284169390367845,0.004100021034273192,-0.0378780030622099,0.0482449457289633,-0.7851185754256176,-0.19709225011088183,0.004100021034273192,0.00719024074947759,1.8119406688683526,0.011195204846936606,1.0785361124216384e-05,0.0026197222662738273,0.054033097205620106
Wei_adj_cross_sectional_momentum_1M,0.14246847638291715,0.1333911005648599,1.068050835322732,-0.18994415635742756,0.012523685489341789,0.13038844429312868,0.13356386620206342,0.9762254418112547,-0.19649583913878477,0.012523685489341789,0.02807423454900448,7.07470710634913,0.04371158319279998,4.2111351823506726e-05,0.012080032089788473,0.09182539351147734
Wei_adj_cross_sectional_momentum_1M_w_asset_stop,0.0688458155099203,0.09011991864605388,0.7639356153916689,-0.1857189714817118,0.00874092401564194,0.060241548616095875,0.09018923601666318,0.6679461017384133,-0.1920447371024644,0.00874092401564194,0.02137121012059158,5.385544950389078,0.033274974157761095,3.205681518088738e-05,0.00860426689382443,0.09598951365325559
Wei_adj_cross_sectional_momentum_2M,0.14660445436875658,0.13284436675823919,1.103580512642731,-0.19612836922869292,0.011658510585138476,0.13891596525391603,0.13283105638011214,1.0458093840373532,-0.20112593623503272,0.011658510585138476,0.017813255346355455,4.4889403472815745,0.027735238574275442,2.671988301953318e-05,0.0076884891148405465,0.0577711286053777
Wei_adj_cross_sectional_momentum_2M_w_asset_stop,-0.0024551322583058477,0.054771970126541406,-0.044824611067187804,-0.19933748409838659,0.005270383538838068,-0.006893510447245288,0.05481034572260277,-0.12577024202937168,-0.20412439570299368,0.005270383538838068,0.011791115113412649,2.9713610085799873,0.018358766231583494,1.7686672670118974e-05,0.00443837818893944,0.08094563096218388
Wei_adj_cross_sectional_momentum_3M,0.13730816399493317,0.12870193194192442,1.066869486130886,-0.19372294855773364,0.012038459402527688,0.1315456379187976,0.1287492686309728,1.0217194964877032,-0.1956250837386676,0.012038459402527688,0.013429112659502808,3.3841363901947075,0.020909128410845874,2.0143668989254215e-05,0.005762526076135588,0.04514998964318284
Wei_adj_cross_sectional_momentum_3M_w_asset_stop,-0.03792242824654202,0.04974170434277475,-0.7623869899031808,-0.19848411094975416,0.003995926149375954,-0.04040244426488049,0.049756840494409836,-0.8119977848959218,-0.2024860339009158,0.003995926149375954,0.0068252464878537505,1.719962114939145,0.01062690878158829,1.0237869731780626e-05,0.002480016018338471,0.049610794992741014
