strategy,regime,count,annual_return,annual_vol,sharpe,max_drawdown,VaR(95%),skew
Benchmark(0050.TW),Bear High Vol,162,-0.1229604394930689,0.3153637210417218,-0.3899003952861197,-0.20976796484937799,0.023955498778656038,0.1294623887348782
Benchmark(0050.TW),Bear Low Vol,107,-0.23989978744350848,0.19429296016501887,-1.234732268424725,-0.18225935731213927,0.02091808027211086,-0.03061859440571355
Benchmark(0050.TW),Bull High Vol,214,0.5310052565966934,0.26797868160543087,1.981520520272356,-0.21303846319162267,0.025025193023308114,-0.9645152414479474
Benchmark(0050.TW),Bull Low Vol,486,0.32767975423338225,0.15430535630111616,2.1235799073231005,-0.06592454786048951,0.013984862657613001,0.23466559304860252
Benchmark(SPY),Bear High Vol,156,0.28532317089920234,0.287626351237226,0.9919924571301741,-0.15582156941720982,0.028169337705830154,1.1246805217436757
Benchmark(SPY),Bear Low Vol,104,-0.12550949457101213,0.22157913615804511,-0.5664319156903398,-0.16299515514712037,0.023925761178014537,-0.31232950996403436
Benchmark(SPY),Bull High Vol,208,0.387736918855611,0.13010129421282088,2.9802694984828317,-0.06069242174970668,0.01394482022993688,-0.3488133638857593
Benchmark(SPY),Bull Low Vol,465,0.09337455028757136,0.12960821438045647,0.7204369779640389,-0.17837906947394266,0.014413994333652267,-0.3167553827150421
Cross_sectional_momentum_1M,Bear High Vol,162,-0.2181455937862653,0.18143548898310807,-1.2023314457877368,-0.18410136845495317,0.017289344717810958,-1.0462249930456287
Cross_sectional_momentum_1M,Bear Low Vol,107,-0.22560857621103259,0.10997683969438554,-2.051418979104836,-0.12177492547946844,0.013546877284549775,-1.1993881234913273
Cross_sectional_momentum_1M,Bull High Vol,214,0.574014135019346,0.23893551243845768,2.4023809987943676,-0.20745434086543202,0.020581687076405546,-1.5871829778746775
Cross_sectional_momentum_1M,Bull Low Vol,486,0.26793630716452954,0.12715594970070948,2.107147229800719,-0.0654782990682633,0.01336684915413025,-0.3105635735849341
Cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,162,-0.2286461039113764,0.12602425571790002,-1.8143023548037536,-0.15734638267046264,0.014385550518402167,-0.8414247857368488
Cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,107,-0.19124376151958333,0.07441915986815553,-2.569818872698909,-0.09105585833766439,0.00810337565516378,-1.2618200180929169
Cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,214,0.3285259358600845,0.14092263221429482,2.331250351331145,-0.12498266132386537,0.012570162774043454,-1.5585955011327186
Cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,486,0.14708150815508514,0.07624460686168781,1.929074254680067,-0.05145616292074051,0.008097014972775297,-0.458297169743589
Cross_sectional_momentum_2M,Bear High Vol,162,-0.19933068762783546,0.1912406793693086,-1.0423027584152431,-0.16899376828287271,0.020111237938199366,-0.9779116401725624
Cross_sectional_momentum_2M,Bear Low Vol,107,-0.13307923782851916,0.09950808252747932,-1.3373711405982434,-0.09683341062288331,0.010819164832331375,-1.049265870175254
Cross_sectional_momentum_2M,Bull High Vol,214,0.5670891859071714,0.23951291278295764,2.367676879371667,-0.20745434086543169,0.020581687076405546,-1.5954965312751397
Cross_sectional_momentum_2M,Bull Low Vol,486,0.24028268364154903,0.12468248059133602,1.927156746496796,-0.07781064055205211,0.012691558223899124,-0.2115889378154019
Cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,162,-0.21562058063032696,0.10934550963628774,-1.9719198469835515,-0.14073142315171494,0.013321745809660277,-0.13901775686640275
Cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,107,-0.11571036663464096,0.05901699771201605,-1.9606278042009235,-0.06876048636966037,0.006233926995315663,-2.332916323510353
Cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,214,0.12024320169618052,0.048404807172383386,2.484116944582798,-0.03046893472014167,0.0037179413394728567,-0.9284967905040414
Cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,486,0.05352480971326323,0.04285664799368802,1.248926647766443,-0.047160970583244755,0.0030232096815432743,-1.4317550652368942
Cross_sectional_momentum_3M,Bear High Vol,162,-0.21114490555434895,0.19631565903960915,-1.0755377670191242,-0.18170206046376625,0.021791112272070975,-0.6555629138709355
Cross_sectional_momentum_3M,Bear Low Vol,107,-0.12944288887638644,0.0904776429145274,-1.4306615944744363,-0.0818474894753094,0.010399144695130267,-1.230140274625012
Cross_sectional_momentum_3M,Bull High Vol,214,0.514782945058021,0.23242038891334726,2.2148785976343337,-0.2017720987882683,0.020285836069282383,-1.6563315213032896
Cross_sectional_momentum_3M,Bull Low Vol,486,0.2378420395133598,0.12213017776287921,1.947446928106008,-0.07430908243646372,0.01234282288401171,-0.2782588748276592
Cross_sectional_momentum_3M_w_asset_stop,Bear High Vol,162,-0.23009304320584767,0.11463189913995012,-2.0072339805252204,-0.15325504908818388,0.013648311478604649,-0.045114587573134794
Cross_sectional_momentum_3M_w_asset_stop,Bear Low Vol,107,-0.12670848138581914,0.059199611266571396,-2.140360023907258,-0.07124498337754659,0.004756488739835496,-2.8347544970189014
Cross_sectional_momentum_3M_w_asset_stop,Bull High Vol,214,0.029105388639454777,0.034689364184296606,0.839029175767666,-0.011029803828348728,0.0011899470558905591,-0.4763724180529275
Cross_sectional_momentum_3M_w_asset_stop,Bull Low Vol,486,0.012836330462376422,0.03400624714373594,0.37746977513044727,-0.04408360462994698,0.0014453702288549214,-1.8744049702513181
Vol_adj_cross_sectional_momentum_1M,Bear High Vol,162,-0.15078751508728283,0.1199965110629708,-1.2565991606885452,-0.114162135121049,0.015985716088548665,-0.5656446698193636
Vol_adj_cross_sectional_momentum_1M,Bear Low Vol,107,-0.2193146443923073,0.08821693950933301,-2.4860831220414834,-0.1041177075572689,0.010536520345904184,-1.4648887810768936
Vol_adj_cross_sectional_momentum_1M,Bull High Vol,214,0.5306811038669639,0.20056578890296134,2.6459203574529875,-0.16628401079842325,0.01750241253455968,-1.6352475213378384
Vol_adj_cross_sectional_momentum_1M,Bull Low Vol,486,0.21442589898491193,0.10973484217149017,1.9540366099020205,-0.055837304534418486,0.011228752172505742,-0.4071410242338329
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,162,-0.15017136830766653,0.10108191278381694,-1.4856403502062412,-0.10416593372858363,0.012862777715416064,-0.1478663988649617
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,107,-0.17061065899174588,0.06521697322810929,-2.616046874714674,-0.08022744971939444,0.0070343715585649644,-1.7160722488160054
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,214,0.305837935067238,0.12794590183306326,2.3903691379367387,-0.12007828121539699,0.01065771364593999,-2.1416321015479522
Vol_adj_cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,486,0.12205808384460148,0.06990361843643808,1.7460910690279414,-0.04701582903491097,0.0067306337922116944,-0.47571404518731036
Vol_adj_cross_sectional_momentum_2M,Bear High Vol,162,-0.14913639326422634,0.12334015225852556,-1.20914714740769,-0.11818723092461847,0.015020806431618537,-0.5386505812757473
Vol_adj_cross_sectional_momentum_2M,Bear Low Vol,107,-0.1420827760012422,0.07368376711800537,-1.928277849498317,-0.08625678736864695,0.007356160421940074,-2.1068555176183987
Vol_adj_cross_sectional_momentum_2M,Bull High Vol,214,0.49960794832691646,0.20430749720702926,2.445372564182766,-0.17648253338843234,0.01755566826779425,-1.6555696959383281
Vol_adj_cross_sectional_momentum_2M,Bull Low Vol,486,0.2111053164958776,0.10551684727372819,2.000678772634624,-0.06681466579731887,0.01088580043009416,-0.22923977276449722
Vol_adj_cross_sectional_momentum_2M_w_asset_stop,Bear High Vol,162,-0.169494513495834,0.08910659558373428,-1.9021545193762728,-0.12741285707254957,0.009013053226927711,0.013158376229508063
Vol_adj_cross_sectional_momentum_2M_w_asset_stop,Bear Low Vol,107,-0.1382122380583859,0.057264422568155865,-2.413579529137595,-0.07059949891718442,0.005829201789028753,-2.570324722210245
Vol_adj_cross_sectional_momentum_2M_w_asset_stop,Bull High Vol,214,0.09884436135050279,0.042966473505032736,2.3004997452007547,-0.03724755724110396,0.003638069871860019,-2.4525977946038298
Vol_adj_cross_sectional_momentum_2M_w_asset_stop,Bull Low Vol,486,0.049412608107832545,0.03988709399249226,1.2388119354378944,-0.050170123057270755,0.0037379172742789623,-1.4283978376391795
Vol_adj_cross_sectional_momentum_3M,Bear High Vol,162,-0.1346712078735982,0.13552231434108397,-0.9937198056893887,-0.14377217398744824,0.016307155608200286,-0.29541295918642413
Vol_adj_cross_sectional_momentum_3M,Bear Low Vol,107,-0.13731420059064448,0.06626032441161839,-2.0723442242393726,-0.07327176759925802,0.0059640733226649775,-1.854179363888863
Vol_adj_cross_sectional_momentum_3M,Bull High Vol,214,0.4465926180410431,0.19490477294940434,2.2913375146383657,-0.16703703212985777,0.017496049534744058,-1.770228671584647
Vol_adj_cross_sectional_momentum_3M,Bull Low Vol,486,0.20145749679662361,0.10334999980612583,1.9492742832562897,-0.061702104737874186,0.010733224466918365,-0.27905538267179475
Vol_adj_cross_sectional_momentum_3M_w_asset_stop,Bear High Vol,162,-0.200548792068861,0.0986208005933359,-2.0335344152784405,-0.1440646274004045,0.013497652826716127,-0.04918156918139594
Vol_adj_cross_sectional_momentum_3M_w_asset_stop,Bear Low Vol,107,-0.12393626256852519,0.053582959881188455,-2.312979029962768,-0.0641674146535266,0.0036735774639307162,-2.682864184095798
Vol_adj_cross_sectional_momentum_3M_w_asset_stop,Bull High Vol,214,0.016556843311766434,0.022496401631420918,0.7359774057661448,-0.012552239453190284,0.0014999521992551555,1.2846979217842083
Vol_adj_cross_sectional_momentum_3M_w_asset_stop,Bull Low Vol,486,0.017727879124448176,0.028366220264514467,0.6249644457081711,-0.04003964535276705,0.0018976569665147055,-1.9114995978218683
Wei_adj_cross_sectional_momentum_1M,Bear High Vol,162,-0.1804828813169569,0.13199631522475117,-1.36733272447528,-0.13916749787799065,0.01607234372315022,-0.8940010852748085
Wei_adj_cross_sectional_momentum_1M,Bear Low Vol,107,-0.21662769152859918,0.09068621940988535,-2.3887608606714665,-0.10427019538727955,0.010536520345904184,-1.3584401996469557
Wei_adj_cross_sectional_momentum_1M,Bull High Vol,214,0.5269394654944344,0.2019846279054584,2.6088097443785445,-0.16972399075788003,0.01755566826779425,-1.6196226612787816
Wei_adj_cross_sectional_momentum_1M,Bull Low Vol,486,0.22131281357939359,0.11022676480411954,2.007795601845718,-0.055113816256367354,0.011359065054049045,-0.41138029326049885
Wei_adj_cross_sectional_momentum_1M_w_asset_stop,Bear High Vol,162,-0.17780972775179615,0.10769481637507455,-1.6510518680168282,-0.12198835252560869,0.013069659796948404,-0.27659594333646714
Wei_adj_cross_sectional_momentum_1M_w_asset_stop,Bear Low Vol,107,-0.17168204805623166,0.06824363663984263,-2.5157224396215523,-0.08334383688613012,0.007180756597974095,-1.5210652133128657
Wei_adj_cross_sectional_momentum_1M_w_asset_stop,Bull High Vol,214,0.3038843290517361,0.129066416182651,2.354480259385896,-0.12227758569647218,0.011171478685901664,-2.1110458148646414
Wei_adj_cross_sectional_momentum_1M_w_asset_stop,Bull Low Vol,486,0.12603962483991737,0.07033011828687181,1.7921145010137796,-0.046507885612013244,0.0067306337922116944,-0.4775690178322909
Wei_adj_cross_sectional_momentum_2M,Bear High Vol,162,-0.16953877765447445,0.13794241099320742,-1.2290547659256361,-0.13457854461433627,0.016767183878575648,-0.8562811143807435
