Date,Time_series_momentum_1M,Time_series_momentum_1M_w_asset_stop,Time_series_momentum_2M,Time_series_momentum_2M_w_asset_stop,Time_series_momentum_3M,Time_series_momentum_3M_w_asset_stop,Vol_adj_time_series_momentum_1M,Vol_adj_time_series_momentum_1M_w_asset_stop,Vol_adj_time_series_momentum_2M,Vol_adj_time_series_momentum_2M_w_asset_stop,Vol_adj_time_series_momentum_3M,Vol_adj_time_series_momentum_3M_w_asset_stop,Wei_adj_time_series_momentum_1M,Wei_adj_time_series_momentum_1M_w_asset_stop,Wei_adj_time_series_momentum_2M,Wei_adj_time_series_momentum_2M_w_asset_stop,Wei_adj_time_series_momentum_3M,Wei_adj_time_series_momentum_3M_w_asset_stop,Benchmark(0050.TW),Benchmark(SPY)
2022-01-03,-0.0033466635078420693,-0.0033466635078420693,-0.003977446617881483,-0.003977446617881483,-0.0027356367121356582,-0.0027356367121356582,-0.004144104061384307,-0.004144104061384307,-0.004860572560846842,-0.004860572560846842,-0.0033817332900192326,-0.0033817332900192326,-0.004144104061384307,-0.004144104061384307,-0.004860572560846842,-0.004860572560846842,-0.002535250008603435,-0.002535250008603435,0.006185525061748187,0.005789961364061735
2022-01-04,0.011683449680436268,0.011683449680436268,0.008081147230425773,0.008081147230425773,0.00957689446493764,0.00957689446493764,0.007887331888103893,0.007887331888103893,0.003517773211684169,0.003517773211684169,0.0027936643530641985,0.0027936643530641985,0.007887331888103893,0.007887331888103893,0.003517773211684169,0.003517773211684169,0.0026080828913925273,0.0026080828913925273,0.021858007789903988,-0.00033493890638969237
2022-01-05,-0.0031889060006067864,-0.0031889060006067864,-0.0038045692578747917,-0.0038045692578747917,-0.0024728414942535052,-0.0024728414942535052,-0.003532885658284459,-0.003532885658284459,-0.0045492700429680165,-0.0045492700429680165,-0.002412926318855573,-0.002412926318855573,-0.003532885658284459,-0.003532885658284459,-0.0045492700429680165,-0.0045492700429680165,-0.0020048462441052102,-0.0020048462441052102,-0.002005367911216749,-0.019202142486770768
2022-01-06,-0.010265878685184651,-0.010265878685184651,-0.008914807191442317,-0.008914807191442317,-0.009146606292847113,-0.009146606292847113,-0.007369596943621632,-0.007369596943621632,-0.006039299779202955,-0.006039299779202955,-0.00360330508979204,-0.00360330508979204,-0.007369596943621632,-0.007369596943621632,-0.006039299779202955,-0.006039299779202955,-0.0033432857737727695,-0.0033432857737727695,-0.009377154230787887,-0.0009394133755055156
2022-01-07,-0.002597840159052751,-0.002597840159052751,-0.0010748249486645656,-0.0010748249486645656,-0.002903409777282797,-0.002903409777282797,-0.003126401218206626,-0.003126401218206626,-0.0018280737273714369,-0.0018280737273714369,-0.0015802176620023083,-0.0015802176620023083,-0.003126401218206626,-0.003126401218206626,-0.0018280737273714369,-0.0018280737273714369,-0.0015058776260940103,-0.0015058776260940103,-0.008789640612687388,-0.003953511334494841
2022-01-10,0.0008203851327763274,0.0008203851327763274,0.0003576195118187575,0.0003576195118187575,0.0007424438121185261,0.0007424438121185261,0.0008246233008395676,0.0008246233008395676,9.353055688624944e-05,9.353055688624944e-05,-9.663729150482676e-05,-9.663729150482676e-05,0.0008246233008395676,0.0008246233008395676,9.353055688624944e-05,9.353055688624944e-05,8.929892652179994e-05,8.929892652179994e-05,0.006480197194339787,-0.001244366059822366
2022-01-11,0.0025937073653768557,0.0025937073653768557,0.002868603601288211,0.002868603601288211,0.002524171686006358,0.002524171686006358,0.003292075461201096,0.003292075461201096,0.003356684957226006,0.003356684957226006,0.0016725613445274616,0.0016725613445274616,0.003292075461201096,0.003292075461201096,0.003356684957226006,0.003356684957226006,0.001560945524549705,0.001560945524549705,0.005083022599036591,0.009108268663244656
2022-01-12,0.007538282714062329,0.007538282714062329,0.007697226064477501,0.007697226064477501,0.006699336219625515,0.006699336219625515,0.005170855469613434,0.005170855469613434,0.004846557981169993,0.004846557981169993,0.0020612612247684053,0.0020612612247684053,0.005170855469613434,0.005170855469613434,0.004846557981169993,0.004846557981169993,0.0021728377772607514,0.0021728377772607514,0.008428860244620084,0.002703542338843734
2022-01-13,0.0056250818802010254,0.0056250818802010254,0.005753074975611998,0.005753074975611998,0.005205210919899647,0.005205210919899647,0.004009091000728965,0.004009091000728965,0.0033364946432904467,0.0033364946432904467,0.0018708643934840807,0.0018708643934840807,0.004009091000728965,0.004009091000728965,0.0033364946432904467,0.0033364946432904467,0.0017220338380050516,0.0017220338380050516,0.005015045033067933,-0.013778587715492119
2022-01-14,-0.007413637197681253,-0.007413637197681253,-0.00814635850040727,-0.00814635850040727,-0.006548543946582937,-0.006548543946582937,-0.0061495959746520595,-0.0061495959746520595,-0.006849399271451226,-0.006849399271451226,-0.003589989003079517,-0.003589989003079517,-0.0061495959746520595,-0.0061495959746520595,-0.006849399271451226,-0.006849399271451226,-0.0031809040450820085,-0.0031809040450820085,0.0,0.0004090208208415991
