Date,rolling_rolling_fold_1_Time_series_momentum_1M,rolling_rolling_fold_1_Time_series_momentum_1M_w_asset_stop,rolling_rolling_fold_2_Time_series_momentum_1M,rolling_rolling_fold_2_Time_series_momentum_1M_w_asset_stop,rolling_rolling_fold_3_Time_series_momentum_1M,rolling_rolling_fold_3_Time_series_momentum_1M_w_asset_stop,rolling_rolling_fold_4_Time_series_momentum_1M,rolling_rolling_fold_4_Time_series_momentum_1M_w_asset_stop,rolling_rolling_fold_5_Time_series_momentum_1M,rolling_rolling_fold_5_Time_series_momentum_1M_w_asset_stop
2023-07-03,0.008391127708384823,0.008391127708384823,,,,,,,,
2023-07-04,0.005218758490962637,0.005218758490962637,,,,,,,,
2023-07-05,-0.0049558088929826,-0.0049558088929826,,,,,,,,
2023-07-06,-0.012288255450791171,-0.012288255450791171,,,,,,,,
2023-07-07,-0.003931145212011628,-0.003931145212011628,,,,,,,,
2023-07-10,2.8439937700456105e-05,2.8439937700456105e-05,,,,,,,,
2023-07-11,0.010620059438472043,0.010620059438472043,,,,,,,,
2023-07-12,0.006541794666070802,0.006541794666070802,,,,,,,,
2023-07-13,0.011197103680996587,0.011197103680996587,,,,,,,,
2023-07-14,0.007482017924107381,0.007482017924107381,,,,,,,,
2023-07-17,0.002376876577928712,0.002376876577928712,,,,,,,,
2023-07-18,0.0011489707950280794,0.0011489707950280794,,,,,,,,
2023-07-19,-0.0030517795977757526,-0.0030517795977757526,,,,,,,,
2023-07-20,-0.0002127383679784153,-0.0002127383679784153,,,,,,,,
2023-07-21,-0.006249373994470289,-0.006249373994470289,,,,,,,,
2023-07-24,0.003045173036733646,0.003045173036733646,,,,,,,,
2023-07-25,0.006541236224822044,0.006541236224822044,,,,,,,,
2023-07-26,6.0838226017682884e-05,6.0838226017682884e-05,,,,,,,,
2023-07-27,0.001252008761909393,0.001252008761909393,,,,,,,,
2023-07-28,0.001718500846922155,0.001718500846922155,,,,,,,,
2023-07-31,-0.0033617920376654217,-0.0033617920376654217,,,,,,,,
2023-08-01,0.0028895213451683405,0.0028895213451683405,,,,,,,,
2023-08-02,-0.017514376861598378,-0.017514376861598378,,,,,,,,
2023-08-03,-0.0006229082923361153,-0.0006229082923361153,,,,,,,,
2023-08-04,-0.0006288703639432942,-0.0006288703639432942,,,,,,,,
2023-08-07,0.009455214526285873,0.009455214526285873,,,,,,,,
2023-08-08,-0.004746298615167645,-0.004746298615167645,,,,,,,,
2023-08-09,-0.0017513585451586326,-0.0017513585451586326,,,,,,,,
2023-08-10,-0.012934279062185186,-0.012934279062185186,,,,,,,,
2023-08-11,-4.239624772619136e-06,-4.239624772619136e-06,,,,,,,,
2023-08-14,-0.009443815680831557,-0.009443815680831557,,,,,,,,
2023-08-15,0.006783530603455133,0.006783530603455133,,,,,,,,
2023-08-16,-0.003366042530559756,-0.003366042530559756,,,,,,,,
2023-08-17,0.0016421620442230841,0.0016421620442230841,,,,,,,,
2023-08-18,-0.008131842499974833,-0.008131842499974833,,,,,,,,
2023-08-21,-0.001389634447379431,-0.001389634447379431,,,,,,,,
2023-08-22,0.00659178215613375,0.00659178215613375,,,,,,,,
2023-08-23,0.007674118905828369,0.007674118905828369,,,,,,,,
2023-08-24,0.012837441817736097,0.012837441817736097,,,,,,,,
2023-08-25,-0.019117960764361685,-0.019117960764361685,,,,,,,,
2023-08-28,0.0035321362600618327,0.0035321362600618327,,,,,,,,
2023-08-29,0.006384325731700937,0.006384325731700937,,,,,,,,
2023-08-30,0.007828346225058761,0.007828346225058761,,,,,,,,
2023-08-31,-0.0028317552061069475,-0.0028317552061069475,,,,,,,,
2023-09-01,0.001069915893395188,0.001069915893395188,,,,,,,,
2023-09-04,0.0051454914591476135,0.0051454914591476135,,,,,,,,
2023-09-05,4.193451562228834e-05,4.193451562228834e-05,,,,,,,,
2023-09-06,0.00047554612005495933,0.00047554612005495933,,,,,,,,
2023-09-07,-0.00730141774312379,-0.00730141774312379,,,,,,,,
2023-09-08,-0.002130612482425275,-0.002130612482425275,,,,,,,,
2023-09-11,-0.005268871525946344,-0.005268871525946344,,,,,,,,
2023-09-12,0.006613513502941545,0.006613513502941545,,,,,,,,
2023-09-13,0.00010458617600794229,0.00010458617600794229,,,,,,,,
2023-09-14,0.010020917299393643,0.010020917299393643,,,,,,,,
2023-09-15,0.006379559216696148,0.006379559216696148,,,,,,,,
2023-09-18,-0.009382218156311477,-0.009382218156311477,,,,,,,,
2023-09-19,-0.0021501569839052696,-0.0021501569839052696,,,,,,,,
2023-09-20,-0.005408901941757284,-0.005408901941757284,,,,,,,,
2023-09-21,-0.013622015634147801,-0.013622015634147801,,,,,,,,
2023-09-22,-0.001000118777526552,-0.001000118777526552,,,,,,,,
2023-09-25,0.006468735240187697,0.006468735240187697,,,,,,,,
2023-09-26,-0.008741293971106316,-0.008741293971106316,,,,,,,,
2023-09-27,-0.0014362418486289113,-0.0014362418486289113,,,,,,,,
2023-09-28,0.005474915567811182,0.005474915567811182,,,,,,,,
2023-09-29,-7.191438456906414e-05,-7.191438456906414e-05,,,,,,,,
2023-10-02,0.008933669314683703,0.008933669314683703,,,,,,,,
2023-10-03,-0.007044614787932016,-0.007044614787932016,,,,,,,,
2023-10-04,-0.008477991671010796,-0.008477991671010796,,,,,,,,
2023-10-05,0.007158368995453056,0.007158368995453056,,,,,,,,
2023-10-06,0.0007120065808991755,0.0007120065808991755,,,,,,,,
2023-10-09,0.0005473061652297235,0.0005473061652297235,,,,,,,,
2023-10-10,-4.684795888409976e-05,-4.684795888409976e-05,,,,,,,,
2023-10-11,0.014436051211776298,0.014436051211776298,,,,,,,,
2023-10-12,0.005091422532973572,0.005091422532973572,,,,,,,,
2023-10-13,-0.0026024273636624873,-0.0026024273636624873,,,,,,,,
2023-10-16,-0.002453178536885028,-0.002453178536885028,,,,,,,,
2023-10-17,-0.0002645611710501443,-0.0002645611710501443,,,,,,,,
2023-10-18,-0.00820288405507264,-0.00820288405507264,,,,,,,,
2023-10-19,-0.001485139907673933,-0.001485139907673933,,,,,,,,
2023-10-20,-0.000667397914499627,-0.000667397914499627,,,,,,,,
2023-10-23,-0.010204433703031479,-0.010204433703031479,,,,,,,,
2023-10-24,0.0021664219599224896,0.0021664219599224896,,,,,,,,
